File system;File system;Creator;Year of introduction;Original operating system;File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Metadata checksum/ ECC;File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;XIP;Resident files (inline data);File system;Internal snapshotting / branching;Encryption;Deduplication;Data checksum/ ECC;Persistent Cache;Multiple Devices;Compression;Self-healing(aw);File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;Add and remove physical volumes;File system;Sparse files;Block suballocation;Tail packing;Extents;Variable file block size(bj);Allocate-on-flush;Copy on write;Trim support;File system;DOS;Linux;macOS;Windows 9x;Windows NT;classic Mac OS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;Android(63);File system;Maximum filename length;Allowable characters in directory entries(bx);Maximum pathname length;Maximum file size;Maximum volume size(by);Max number of files
Btrfs;Btrfs;Chris Mason;2007;Linux;Btrfs;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Btrfs;Yes;Yes;Yes[au];No;Yes;Yes;?;?;?;Btrfs;Yes;No;Yes;Yes[be];No;Yes;Yes[bf];Yes;Btrfs;Linux;Yes;Yes;Yes;Yes;Yes;Btrfs;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Btrfs;No;Yes;?;No;Yes with WinBtrfs[86];?;No;?;?;?;?;?;No;Btrfs;255 bytes;Any byte except / and NUL;No limit defined;16 EiB (18.44 EB);16 EiB (18.44 EB);264
CASL;CASL;Nimble Storage;2010;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CBM DOS;CBM DOS;Commodore;1978;Commodore BASIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;CBM DOS;16 bytes;Any byte except NUL;0 (no directory hierarchy);16 MiB (16.77 MB);16 MiB (16.77 MB);?
CHFS;CHFS;University of Szeged;2011;NetBSD 6.0+;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CP/M file system;CP/M file system;Digital Research (Gary Kildall);1974;CP/M[1][2];CP/M file system;No;No;Yes[c];No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;CP/M file system;44993;"ASCII except for < > . , ; : = ? * [ ]";No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2);32 MiB (33.55 MB);512 MiB (536.8 MB);?
DECtape;DECtape;DEC;1964;PDP-6 Monitor;DECtape;No;No;Yes;No;No;No;No;No;No;No;DECtape;No;No;No;No;No;No;No;No;?;DECtape;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;DECtape;No;No;No;No;No;No;No;No;DECtape;No;No;No;No;No;No;No;No;No;No;No;No;No;DECtape;44991;A–Z, 0–9;DTxN:FILNAM.EXT = 15;369,280 bytes (577 * 640);369,920 bytes (578 * 640);?
DFS;DFS;Acorn Computers Ltd;1982;Acorn BBC Micro MOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Disk Operating System (GEC DOS);Disk Operating System (GEC DOS);GEC;1973;Core Operating System;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Disk Operating System (GEC DOS);?;?;?;? at least 131,072 bytes;?;?
DOS 3.x;DOS 3.x;Apple;1978;Apple DOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Elektronika BK tape format;Elektronika BK tape format;"NPO ""Scientific centre"" (now Sitronics)";1985;Vilnius Basic, BK monitor program;Elektronika BK tape format;No;No;No;No;No;No;No;No;No;Yes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Elektronika BK tape format;16 bytes;?;No directory hierarchy;64 KiB (65.53 KB);Not limited. Approx. 800 KiB (819.2 KB) (one side) for 90 min cassette;?
